workclass,race,sex,hours-per-week,income
Local-gov,White,Male,overtime,>50K
Private,Asian-Pac-Islander,Female,full-time,<=50K
Federal-gov,White,Male,overtime,>50K
Private,Black,Female,full-time,<=50K
Private,White,Female,full-time,>50K
Private,White,Male,overtime,<=50K
Private,White,Male,overtime,>50K
Private,White,Male,full-time,<=50K
Private,White,Male,full-time,<=50K
Private,White,Female,full-time,<=50K
Self-emp-not-inc,White,Male,overtime,<=50K
Private,White,Male,overtime,<=50K
Private,White,Male,full-time,<=50K
Private,White,Male,full-time,<=50K
Federal-gov,White,Male,full-time,>50K
Private,White,Male,full-time,<=50K
Private,White,Male,full-time,<=50K
Private,White,Male,full-time,<=50K
Private,White,Male,full-time,<=50K
Private,White,Male,full-time,<=50K
State-gov,White,Male,overtime,<=50K
Private,White,Male,full-time,<=50K
Private,White,Male,full-time,>50K
Local-gov,White,Male,overtime,>50K
Private,White,Female,part-time,<=50K
Private,Asian-Pac-Islander,Male,overtime,>50K
Federal-gov,Amer-Indian-Eskimo,Male,full-time,<=50K
Private,White,Female,part-time,>50K
Private,White,Male,full-time,<=50K
Self-emp-not-inc,White,Female,part-time,<=50K
Self-emp-not-inc,White,Male,overtime,>50K
Private,White,Male,overtime,>50K
Private,Black,Male,full-time,<=50K
Private,White,Male,full-time,>50K
Self-emp-not-inc,Other,Male,overtime,>50K
Private,Black,Male,overtime,<=50K
Local-gov,White,Male,full-time,>50K
Private,White,Female,full-time,<=50K
Local-gov,White,Male,full-time,<=50K
Private,White,Male,part-time,<=50K
Private,White,Female,part-time,>50K
Private,White,Male,full-time,<=50K
Private,Asian-Pac-Islander,Female,full-time,<=50K
Local-gov,White,Male,full-time,<=50K
Self-emp-inc,White,Male,full-time,<=50K
Private,White,Male,overtime,>50K
Private,White,Male,overtime,<=50K
Private,White,Female,part-time,<=50K
Private,White,Male,full-time,<=50K
Private,Black,Female,overtime,<=50K
Private,White,Male,full-time,<=50K
Self-emp-not-inc,White,Female,overtime,<=50K
Private,White,Male,full-time,>50K
Private,White,Male,full-time,<=50K
Private,White,Male,overtime,>50K
Private,White,Male,part-time,<=50K
Private,White,Female,full-time,<=50K
Self-emp-not-inc,White,Male,part-time,<=50K
Private,White,Female,full-time,<=50K
Self-emp-not-inc,White,Male,full-time,<=50K
Private,White,Male,overtime,>50K
Local-gov,White,Male,part-time,<=50K
Private,White,Male,part-time,<=50K
Local-gov,White,Female,overtime,>50K
Federal-gov,Black,Female,full-time,<=50K
Private,White,Male,full-time,<=50K
Private,White,Male,overtime,<=50K
Private,White,Male,full-time,>50K
Private,White,Male,overtime,>50K
Private,Black,Male,full-time,<=50K
Private,White,Female,full-time,<=50K
Private,White,Male,overtime,<=50K
Private,White,Male,full-time,<=50K
Private,White,Male,overtime,>50K
Private,White,Female,overtime,>50K
Private,White,Male,part-time,<=50K
Private,White,Female,full-time,<=50K
Federal-gov,Black,Male,full-time,<=50K
Private,Black,Female,full-time,<=50K
Self-emp-inc,White,Male,overtime,>50K
Private,Asian-Pac-Islander,Male,full-time,<=50K
Private,White,Female,full-time,<=50K
Private,White,Male,overtime,>50K
Private,White,Female,part-time,<=50K
Private,White,Male,full-time,<=50K
Private,White,Female,full-time,<=50K
Private,Asian-Pac-Islander,Male,full-time,>50K
Self-emp-not-inc,White,Male,overtime,<=50K
Private,White,Female,part-time,<=50K
Private,White,Male,full-time,<=50K
Private,Asian-Pac-Islander,Male,full-time,<=50K
Self-emp-inc,White,Male,overtime,>50K
Self-emp-not-inc,White,Male,part-time,>50K
Private,White,Male,overtime,<=50K
Private,White,Male,overtime,>50K
Private,White,Male,full-time,>50K
State-gov,White,Female,full-time,<=50K
Private,White,Male,full-time,<=50K
Private,Black,Female,full-time,<=50K
Private,White,Male,part-time,<=50K
Private,Black,Female,full-time,<=50K
Private,White,Male,part-time,<=50K
Private,White,Female,full-time,>50K
State-gov,White,Male,full-time,<=50K
Self-emp-not-inc,White,Male,overtime,<=50K
Self-emp-not-inc,White,Male,full-time,<=50K
Private,White,Female,full-time,<=50K
Private,White,Male,part-time,>50K
Private,White,Male,overtime,>50K
Private,White,Male,overtime,>50K
Private,White,Male,full-time,>50K
Private,White,Female,overtime,>50K
Local-gov,White,Female,overtime,>50K
Private,White,Male,overtime,>50K
Private,White,Female,full-time,>50K
Local-gov,White,Male,part-time,<=50K
Private,White,Male,overtime,>50K
Private,White,Male,part-time,>50K
Private,White,Female,overtime,<=50K
Private,White,Male,part-time,<=50K
Private,White,Female,part-time,<=50K
Private,White,Male,overtime,>50K
Private,White,Male,overtime,<=50K
Local-gov,White,Male,full-time,<=50K
Private,White,Male,full-time,<=50K
Self-emp-not-inc,White,Female,overtime,<=50K
Private,White,Female,part-time,<=50K
Self-emp-not-inc,White,Female,part-time,<=50K
Private,White,Male,overtime,>50K
Private,White,Female,full-time,<=50K
Private,White,Male,full-time,<=50K
Private,White,Male,full-time,<=50K
Self-emp-not-inc,White,Male,overtime,>50K
Private,White,Male,part-time,<=50K
Self-emp-inc,White,Male,full-time,>50K
Private,White,Male,part-time,<=50K
Private,White,Female,full-time,<=50K
Private,White,Male,full-time,<=50K
Private,Black,Female,full-time,<=50K
State-gov,White,Male,part-time,<=50K
Self-emp-not-inc,White,Male,full-time,>50K
Private,White,Male,full-time,<=50K
Self-emp-not-inc,White,Male,overtime,>50K
Private,White,Female,full-time,<=50K
Private,White,Female,overtime,<=50K
Private,Black,Female,full-time,>50K
Private,White,Male,full-time,<=50K
Private,White,Male,full-time,<=50K
Local-gov,White,Female,full-time,>50K
Private,White,Female,full-time,<=50K
Private,Asian-Pac-Islander,Male,full-time,>50K
Federal-gov,Black,Female,full-time,<=50K
Private,White,Male,overtime,<=50K
Private,White,Female,part-time,<=50K
Private,Black,Male,full-time,<=50K
Self-emp-inc,White,Male,overtime,>50K
Private,White,Male,full-time,<=50K
State-gov,White,Male,full-time,<=50K
Private,White,Male,full-time,<=50K
Private,White,Female,part-time,<=50K
Private,White,Female,full-time,<=50K
Self-emp-not-inc,White,Male,overtime,>50K
Private,White,Male,overtime,>50K
Federal-gov,Black,Male,full-time,<=50K
Private,White,Male,overtime,>50K
Private,Asian-Pac-Islander,Female,full-time,<=50K
Private,White,Male,full-time,>50K
State-gov,White,Female,full-time,<=50K
Private,White,Male,full-time,<=50K
Private,White,Male,overtime,>50K
Private,Asian-Pac-Islander,Male,full-time,<=50K
Private,White,Female,overtime,>50K
Private,White,Male,part-time,>50K
State-gov,White,Female,overtime,<=50K
Federal-gov,White,Male,full-time,>50K
Local-gov,White,Male,full-time,>50K
Private,White,Male,full-time,<=50K
Private,White,Male,full-time,<=50K
Private,White,Male,overtime,>50K
Private,White,Male,overtime,<=50K
Private,White,Female,full-time,<=50K
Private,White,Female,part-time,<=50K
Local-gov,White,Male,full-time,>50K
Self-emp-not-inc,White,Male,full-time,>50K
Private,Black,Female,full-time,<=50K
Private,White,Male,full-time,<=50K
Private,White,Male,overtime,<=50K
Private,White,Female,part-time,<=50K
Private,White,Male,full-time,<=50K
Local-gov,White,Female,full-time,>50K
Private,White,Male,full-time,<=50K
Private,White,Male,overtime,>50K
Private,White,Male,overtime,>50K
Self-emp-not-inc,White,Male,overtime,<=50K
Private,Asian-Pac-Islander,Female,full-time,<=50K
Self-emp-not-inc,White,Male,part-time,<=50K
Self-emp-not-inc,White,Female,overtime,<=50K
Private,Black,Female,full-time,<=50K
Private,White,Male,full-time,>50K
Self-emp-not-inc,White,Male,overtime,<=50K
Private,Black,Female,full-time,<=50K
Federal-gov,White,Female,full-time,<=50K
Private,White,Male,full-time,<=50K
Private,White,Male,full-time,<=50K
Private,White,Male,overtime,<=50K
Private,White,Male,full-time,<=50K
Private,White,Male,part-time,<=50K
Private,White,Male,full-time,<=50K
Private,White,Female,full-time,<=50K
State-gov,Black,Female,full-time,<=50K
Private,White,Male,overtime,<=50K
Private,White,Female,part-time,<=50K
Self-emp-not-inc,White,Male,overtime,<=50K
Private,White,Female,overtime,<=50K
Private,White,Male,overtime,>50K
Private,White,Female,full-time,<=50K
Self-emp-not-inc,White,Male,full-time,>50K
Private,White,Male,overtime,<=50K
Private,White,Male,overtime,<=50K
Private,Black,Female,full-time,>50K
Private,White,Male,overtime,<=50K
Private,White,Male,full-time,<=50K
Private,White,Female,full-time,<=50K
Self-emp-not-inc,White,Female,overtime,<=50K
Private,Black,Female,full-time,<=50K
Private,White,Female,overtime,<=50K
Private,White,Female,full-time,<=50K
Private,White,Male,full-time,>50K
Private,White,Female,part-time,<=50K
Private,White,Female,full-time,<=50K
Private,White,Female,overtime,>50K
State-gov,White,Male,overtime,>50K
Private,White,Female,full-time,<=50K
Self-emp-not-inc,White,Male,overtime,>50K
Private,White,Male,overtime,>50K
State-gov,White,Male,full-time,<=50K
Private,White,Male,full-time,<=50K
Private,White,Female,full-time,<=50K
Private,White,Female,part-time,<=50K
Private,White,Female,full-time,<=50K
Private,White,Female,overtime,>50K
Private,White,Male,overtime,>50K
Private,White,Male,full-time,<=50K
Private,White,Female,overtime,<=50K
Private,White,Male,full-time,<=50K
Private,White,Male,full-time,<=50K
Private,White,Male,full-time,<=50K
Private,Asian-Pac-Islander,Male,full-time,>50K
Local-gov,White,Female,overtime,<=50K
Private,Asian-Pac-Islander,Female,full-time,<=50K
Private,Black,Female,full-time,<=50K
State-gov,White,Male,full-time,<=50K
Private,White,Male,full-time,<=50K
Private,White,Male,part-time,<=50K
Private,White,Male,full-time,<=50K
Private,White,Male,full-time,>50K
Private,White,Male,full-time,<=50K
Private,White,Male,full-time,<=50K
Private,White,Female,part-time,>50K
Private,White,Male,full-time,>50K
Private,White,Male,full-time,<=50K
Local-gov,White,Male,full-time,<=50K
Private,White,Male,overtime,<=50K
Private,White,Male,full-time,>50K
Private,White,Male,overtime,<=50K
Local-gov,White,Male,overtime,<=50K
Private,Other,Male,overtime,<=50K
Self-emp-not-inc,White,Male,full-time,<=50K
Private,White,Male,full-time,>50K
Self-emp-not-inc,White,Male,full-time,<=50K
Private,Black,Male,full-time,>50K
Self-emp-not-inc,White,Male,overtime,<=50K
Self-emp-not-inc,White,Male,part-time,>50K
Private,White,Female,full-time,<=50K
Private,White,Female,part-time,<=50K
Local-gov,White,Female,full-time,<=50K
Private,White,Male,part-time,<=50K
Federal-gov,White,Male,full-time,>50K
Self-emp-not-inc,Asian-Pac-Islander,Male,full-time,<=50K
Private,White,Male,full-time,<=50K
Private,White,Male,overtime,<=50K
Private,White,Male,full-time,<=50K
Private,Asian-Pac-Islander,Male,part-time,<=50K
Private,White,Female,full-time,<=50K
Private,White,Female,full-time,<=50K
Private,White,Male,overtime,>50K
Self-emp-inc,White,Male,overtime,<=50K
Private,White,Male,full-time,<=50K
State-gov,White,Male,full-time,<=50K
Private,White,Male,full-time,<=50K
Self-emp-not-inc,White,Male,full-time,>50K
Private,White,Male,full-time,>50K
Private,White,Female,overtime,<=50K
Private,White,Male,full-time,>50K
Private,White,Male,overtime,<=50K
Private,White,Female,full-time,<=50K
State-gov,White,Male,overtime,<=50K
Private,White,Male,overtime,>50K
Private,White,Male,overtime,>50K
Local-gov,White,Male,overtime,>50K
Self-emp-inc,White,Male,overtime,>50K
Private,White,Female,full-time,<=50K
State-gov,White,Male,full-time,<=50K
Private,White,Female,part-time,<=50K
State-gov,White,Male,full-time,<=50K
Private,White,Male,full-time,<=50K
Private,White,Female,overtime,<=50K
Private,White,Female,full-time,<=50K
Federal-gov,White,Male,full-time,<=50K
Private,White,Female,full-time,<=50K
Private,White,Female,part-time,<=50K
Private,White,Male,full-time,>50K
State-gov,White,Male,overtime,>50K
Federal-gov,White,Female,overtime,>50K
Private,White,Male,full-time,<=50K
Private,Asian-Pac-Islander,Male,full-time,>50K
Private,White,Male,overtime,>50K
Private,White,Female,full-time,<=50K
Self-emp-inc,White,Male,overtime,<=50K
Private,White,Male,full-time,<=50K
Federal-gov,Black,Female,part-time,<=50K
Private,White,Male,full-time,<=50K
Private,White,Male,overtime,>50K
Private,White,Male,overtime,>50K
Private,White,Male,full-time,<=50K
Private,White,Female,part-time,<=50K
Federal-gov,White,Male,full-time,>50K
Private,White,Male,full-time,<=50K
Private,White,Female,part-time,<=50K
Private,White,Male,part-time,<=50K
Self-emp-inc,White,Male,overtime,>50K
Private,White,Female,overtime,<=50K
Local-gov,White,Male,full-time,>50K
Private,White,Male,full-time,<=50K
Private,Black,Female,full-time,<=50K
Private,White,Male,full-time,<=50K
Private,White,Male,overtime,<=50K
Self-emp-inc,White,Male,full-time,<=50K
Private,Asian-Pac-Islander,Male,full-time,>50K
Self-emp-not-inc,White,Male,overtime,<=50K
Private,White,Female,part-time,<=50K
Private,White,Male,full-time,<=50K
Private,White,Male,overtime,>50K
Private,White,Male,full-time,<=50K
Self-emp-not-inc,White,Male,overtime,<=50K
Private,White,Male,overtime,<=50K
Self-emp-not-inc,White,Male,overtime,<=50K
Private,White,Female,part-time,<=50K
Private,White,Male,full-time,<=50K
Private,White,Female,part-time,<=50K
Private,White,Male,full-time,<=50K
Private,Black,Female,full-time,>50K
State-gov,White,Male,overtime,<=50K
Private,Black,Male,overtime,<=50K
Private,White,Male,overtime,<=50K
Self-emp-inc,White,Male,overtime,<=50K
Private,White,Female,overtime,<=50K
Private,White,Female,full-time,<=50K
Private,White,Male,part-time,<=50K
Private,White,Female,part-time,<=50K
Local-gov,White,Female,full-time,<=50K
Private,Black,Female,full-time,<=50K
Private,White,Female,full-time,<=50K
Private,White,Male,overtime,>50K
Local-gov,White,Male,part-time,<=50K
Private,White,Male,full-time,>50K
Private,White,Male,full-time,>50K
State-gov,White,Male,overtime,<=50K
Private,White,Male,overtime,>50K
Self-emp-not-inc,White,Male,part-time,<=50K
Self-emp-not-inc,White,Female,full-time,<=50K
Private,White,Female,part-time,<=50K
Private,White,Male,full-time,<=50K
Private,White,Male,overtime,<=50K
Private,White,Male,full-time,<=50K
Federal-gov,Asian-Pac-Islander,Male,full-time,<=50K
Private,White,Male,overtime,>50K
Local-gov,Black,Male,full-time,>50K
Private,White,Male,overtime,>50K
Federal-gov,Black,Male,overtime,>50K
Private,White,Male,full-time,<=50K
Private,White,Female,overtime,>50K
Private,White,Male,full-time,>50K
Private,White,Female,part-time,<=50K
Private,White,Male,overtime,>50K
Private,White,Female,full-time,>50K
State-gov,White,Female,overtime,<=50K
Private,White,Male,part-time,<=50K
Private,White,Female,full-time,<=50K
Private,Asian-Pac-Islander,Female,full-time,<=50K
Private,White,Male,full-time,<=50K
Private,White,Male,full-time,<=50K
Self-emp-inc,White,Male,overtime,>50K
Private,White,Female,full-time,<=50K
Private,White,Male,overtime,>50K
Private,White,Male,full-time,>50K
Private,White,Female,full-time,<=50K
Private,White,Male,part-time,<=50K
Private,White,Male,full-time,<=50K
Private,White,Female,part-time,<=50K
Private,Asian-Pac-Islander,Female,full-time,<=50K
Private,White,Male,full-time,<=50K
Private,White,Female,overtime,>50K
Private,White,Female,full-time,<=50K
Private,White,Female,overtime,>50K
Private,White,Female,part-time,<=50K
Private,White,Male,part-time,<=50K
Private,White,Female,full-time,<=50K
Private,White,Male,full-time,<=50K
State-gov,White,Male,full-time,<=50K
Self-emp-not-inc,White,Male,overtime,<=50K
Private,White,Male,overtime,>50K
Private,White,Male,overtime,<=50K
Private,White,Male,full-time,<=50K
Private,White,Male,full-time,>50K
Private,Asian-Pac-Islander,Female,full-time,<=50K
Local-gov,White,Male,full-time,>50K
Private,Black,Female,part-time,<=50K
Self-emp-not-inc,White,Male,full-time,<=50K
Self-emp-inc,White,Male,full-time,>50K
Local-gov,Black,Male,part-time,>50K
Private,White,Male,overtime,<=50K
State-gov,White,Male,part-time,<=50K
Self-emp-not-inc,White,Male,overtime,>50K
Private,White,Male,overtime,<=50K
Self-emp-not-inc,White,Male,overtime,<=50K
Private,White,Male,overtime,>50K
Private,White,Male,overtime,<=50K
Federal-gov,Black,Male,full-time,<=50K
Private,White,Male,part-time,<=50K
Private,White,Female,full-time,<=50K
Self-emp-not-inc,White,Male,overtime,>50K
Private,White,Female,overtime,<=50K
Federal-gov,White,Male,full-time,>50K
Private,Black,Male,overtime,<=50K
Self-emp-not-inc,White,Female,overtime,<=50K
Private,White,Male,overtime,<=50K
Self-emp-not-inc,White,Male,part-time,<=50K
Private,White,Male,full-time,>50K
Private,White,Male,overtime,>50K
Private,White,Male,part-time,<=50K
Private,Asian-Pac-Islander,Male,full-time,<=50K
Private,White,Male,overtime,>50K
Private,White,Male,full-time,<=50K
Private,White,Female,full-time,<=50K
Local-gov,Black,Female,overtime,<=50K
Private,Black,Male,full-time,<=50K
Private,White,Male,full-time,>50K
Self-emp-inc,White,Male,overtime,>50K
Private,White,Male,overtime,<=50K
Private,White,Male,overtime,>50K
Private,White,Male,overtime,<=50K
Private,Asian-Pac-Islander,Male,overtime,>50K
Local-gov,Other,Male,full-time,>50K
Private,White,Male,overtime,<=50K
Local-gov,White,Female,full-time,<=50K
Private,White,Female,full-time,<=50K
Private,White,Male,overtime,<=50K
Private,White,Male,part-time,<=50K
Local-gov,White,Male,full-time,<=50K
Private,White,Male,overtime,<=50K
Private,White,Male,full-time,>50K
Private,White,Female,full-time,<=50K
Private,Black,Male,overtime,>50K
Local-gov,White,Male,part-time,<=50K
